track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
7070604,tqm,fuerza regida,2,1,2023-05-19,176553476,28,584,159,16,6,15,615,125,79,96,85,27,0,11,6,1,baixo,2,medio,3,alto,3,alto,3,alto,2,medio,1,baixo,2,medio,2,medio
3365981,yonaguni,bad bunny,19,1,2021-06-04,1260594497,28,9644,86,120,4,164,9928,180,64,44,65,28,0,14,12,3,alto,3,alto,2,medio,2,medio,2,medio,2,medio,3,alto,2,medio,3,alto
5999455,whyd you only call me when youre high,arctic monkeys,4,1,2013-01-01,1267333350,29,23389,70,54,2,1089,24532,92,70,81,63,4,0,8,4,3,alto,1,baixo,2,medio,3,alto,2,medio,1,baixo,2,medio,1,baixo,2,medio
6136667,acrs,shakira,1,1,2023-05-11,123124076,29,955,50,37,11,79,1071,144,75,35,48,84,0,10,12,1,baixo,3,alto,2,medio,1,baixo,1,baixo,3,alto,1,baixo,1,baixo,3,alto
2685773,cardigan,taylor swift,34,1,2020-07-24,812019557,29,7923,112,106,4,142,8171,130,61,53,58,55,0,27,4,3,alto,2,medio,2,medio,2,medio,2,medio,3,alto,1,baixo,3,alto,1,baixo
1956320,eyes closed,ed sheeran,9,1,2023-03-23,195576623,30,2915,69,116,3,107,3138,107,78,39,53,30,0,11,6,2,medio,1,baixo,3,alto,1,baixo,1,baixo,2,medio,3,alto,2,medio,2,medio
6133453,neverita,bad bunny,19,1,2022-05-06,671365962,30,2590,64,20,6,35,2645,122,88,43,50,7,0,14,5,3,alto,2,medio,3,alto,2,medio,1,baixo,1,baixo,2,medio,2,medio,2,medio
2939499,ferxxo 100,feid,8,1,2022-06-03,278920007,30,1647,49,20,2,23,1690,164,70,58,57,25,0,15,7,2,medio,3,alto,2,medio,2,medio,1,baixo,2,medio,3,alto,2,medio,2,medio
8897005,pink  white,frank ocean,2,1,2016-08-20,806397070,30,21574,68,112,1,266,21952,160,54,54,55,67,0,42,11,3,alto,3,alto,1,baixo,2,medio,1,baixo,3,alto,1,baixo,3,alto,3,alto
1774478,shivers,ed sheeran,9,1,2021-09-09,1302184087,30,10147,71,234,18,543,10924,141,79,82,86,28,0,4,9,3,alto,3,alto,3,alto,3,alto,3,alto,2,medio,2,medio,1,baixo,3,alto
7256696,take me to church,hozier,1,1,2013-09-13,2135158446,31,23804,99,187,1,4623,28614,129,57,41,66,63,0,12,5,3,alto,2,medio,1,baixo,2,medio,2,medio,3,alto,1,baixo,2,medio,2,medio
3170547,una noche en medell,cris mj,1,1,2022-01-21,682475162,32,5415,16,46,1,53,5514,96,87,82,53,10,0,5,8,3,alto,1,baixo,3,alto,3,alto,1,baixo,2,medio,1,baixo,1,baixo,2,medio
8465611,the color violet,tory lanez,1,1,2021-12-10,415932686,32,2585,79,3,1,21,2609,105,65,46,53,16,0,9,5,2,medio,1,baixo,2,medio,2,medio,1,baixo,2,medio,1,baixo,1,baixo,2,medio
1621586,efecto,bad bunny,19,1,2022-05-06,1047480053,33,4004,65,34,6,43,4081,98,80,23,48,14,0,6,5,3,alto,1,baixo,3,alto,1,baixo,1,baixo,2,medio,1,baixo,1,baixo,2,medio
1459555,moscow mule,bad bunny,19,1,2022-05-06,909001996,33,4572,113,74,9,85,4731,100,80,29,67,29,0,12,3,3,alto,1,baixo,3,alto,1,baixo,2,medio,2,medio,3,alto,2,medio,1,baixo
1121286,queencard,gidle,2,1,2023-05-15,96273746,33,451,126,10,0,7,468,130,82,69,83,3,0,27,5,1,baixo,2,medio,3,alto,3,alto,3,alto,1,baixo,3,alto,3,alto,2,medio
